2001 super output areas - lower layer,mnemonic,"22 : Publishing, printing and reproduction of recorded media",,24 : Manufacture of chemicals and chemical products,,30 : Manufacture of office machinery and computers,,"32 : Manufacture of radio, television and communication equipment and apparatus",,"33 : Manufacture of medical, precision and optical instruments, watches and clocks",,"50 : Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,"51 : Wholesale trade and commission trade, except of motor vehicles and motorcycles",,64 : Post and telecommunications,,"65 : Financial intermediation, except insurance and pension funding",,"66 : Insurance and pension funding, except compulsory social security",,67 : Activities auxiliary to financial intermediation,,72 : Computer and related activites,,73 : Research and development,,74 : Other business activities,,75 : Public administration and defence; compulsory social security,,80 : Education,,85 : Health and social work,,"92 : Recreational, cultural and sporting activities"
Newham 031C,E01003509,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,10,,0,,75,,0,,0
Newham 031D,E01003604,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,125,,0,,0,,0,,125
Newham 032A,E01003483,0,,0,,0,,0,,0,,0,,20,,0,,0,,0,,0,,0,,0,,5,,0,,0,,15,,0
Newham 032B,E01003484,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,10,,0,,0,,0,,5
Newham 032C,E01003516,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,10
Newham 032D,E01003518,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,0,,0
Newham 032E,E01003519,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,5,,0
Newham 033B,E01003482,250,,0,,0,,0,,0,,50,,425,,75,,0,,0,,5,,5,,0,,250,,0,,75,,50,,150
Newham 033A,E01003480,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,0,,0
Newham 033C,E01003486,0,,0,,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,20,,0,,5,,75,,5
Newham 033D,E01003487,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,50,,175,,0
Newham 034E,E01003510,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,125,,0,,35,,5,,0
Newham 034B,E01003504,0,,0,,0,,0,,0,,5,,175,,5,,0,,0,,0,,20,,0,,50,,0,,50,,25,,0
Newham 034C,E01003505,0,,0,,0,,0,,0,,0,,25,,0,,0,,0,,0,,5,,0,,5,,0,,0,,10,,0
Newham 034D,E01003506,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,0
Newham 034A,E01003497,45,,100,,0,,0,,0,,5,,125,,1000,,0,,0,,0,,10,,0,,100,,0,,75,,0,,0
Newham 035A,E01003479,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,175,,5,,0
Newham 035B,E01003481,5,,0,,0,,0,,0,,0,,50,,5,,0,,0,,0,,15,,0,,35,,0,,1000,,15,,0
Newham 035C,E01003485,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,15,,0
Newham 035D,E01003513,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,30,,0,,50,,10,,0
Newham 036C,E01003514,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,300,,25,,0
Newham 036D,E01003515,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,125,,0,,5,,125,,10
Newham 036E,E01003517,0,,0,,0,,0,,0,,0,,30,,0,,0,,0,,0,,0,,0,,50,,0,,150,,125,,15
Newham 036A,E01003511,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,5,,0
Newham 036B,E01003512,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,40,,25,,0
Newham 037A,E01003609,25,,50,,0,,0,,5,,30,,175,,0,,5,,0,,0,,10,,0,,45,,0,,75,,5,,50
Newham 037B,E01003610,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25,,30,,0,,130,,75,,125,,10,,0
Newham 037C,E01003611,0,,0,,0,,0,,0,,0,,0,,25,,0,,0,,0,,10,,0,,5,,125,,15,,15,,20
Newham 037D,E01003612,35,,100,,0,,0,,0,,5,,125,,0,,0,,0,,5,,35,,0,,160,,35,,50,,50,,5
Southwark 001B,E01004032,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,25,,0,,20,,0,,75,,0,,5
Southwark 001A,E01004029,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,15,,0,,0,,5,,5
Southwark 001C,E01004053,5,,0,,0,,0,,0,,0,,5,,100,,0,,0,,0,,25,,0,,35,,0,,200,,10,,15
Southwark 001D,E01004054,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,20,,0,,35,,0,,0,,0,,5
Southwark 001E,E01004055,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,35,,0,,0
Southwark 002A,E01003927,325,,0,,0,,5,,0,,5,,230,,400,,550,,5,,150,,350,,0,,2125,,300,,400,,425,,90
Southwark 002B,E01003929,1000,,0,,0,,5,,0,,15,,220,,50,,300,,5,,200,,400,,30,,4750,,45,,150,,325,,240
Southwark 002C,E01003934,1250,,0,,0,,0,,0,,10,,50,,800,,100,,1000,,20,,550,,15,,7500,,900,,125,,175,,550
Southwark 002D,E01003935,50,,0,,0,,0,,0,,0,,75,,50,,1500,,0,,50,,400,,0,,4000,,600,,75,,150,,150
Southwark 002E,E01003939,50,,0,,0,,0,,0,,0,,175,,35,,100,,250,,35,,375,,225,,3250,,225,,350,,3500,,50
Southwark 003A,E01003976,25,,0,,0,,0,,0,,5,,75,,0,,15,,0,,5,,50,,0,,475,,50,,15,,50,,15
Southwark 003B,E01003982,100,,0,,0,,0,,0,,20,,100,,0,,5,,0,,100,,230,,5,,3000,,10,,75,,175,,170
Southwark 003C,E01004025,15,,0,,0,,0,,0,,0,,45,,10,,0,,0,,125,,180,,0,,5000,,225,,15,,500,,80
Southwark 003D,E01004026,20,,0,,0,,0,,0,,50,,15,,0,,20,,5,,40,,160,,5,,950,,35,,5,,25,,25
Southwark 003E,E01004027,100,,10,,0,,0,,0,,15,,230,,200,,350,,200,,600,,1125,,100,,11500,,1000,,200,,800,,300
Southwark 004E,E01004028,30,,0,,0,,0,,0,,10,,75,,0,,0,,0,,0,,5,,0,,20,,5,,300,,10,,5
Southwark 004C,E01004022,100,,0,,0,,0,,0,,5,,30,,10,,0,,0,,0,,5,,0,,240,,0,,300,,35,,100
Southwark 004D,E01004023,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,35,,0,,45,,15,,10
Southwark 004B,E01003978,15,,0,,0,,0,,0,,0,,0,,10,,30,,0,,0,,10,,0,,130,,200,,75,,250,,20
Southwark 004A,E01003975,5,,0,,0,,0,,0,,15,,10,,0,,0,,0,,0,,5,,0,,20,,0,,0,,175,,0
Southwark 005B,E01003930,100,,0,,0,,0,,0,,0,,5,,20,,5,,0,,0,,5,,0,,150,,0,,200,,5,,5
Southwark 005C,E01003931,75,,0,,0,,0,,0,,0,,5,,0,,0,,0,,15,,125,,0,,250,,0,,225,,125,,15
Southwark 005D,E01003932,0,,0,,0,,0,,0,,0,,20,,0,,0,,0,,0,,40,,20,,275,,450,,1500,,75,,20
Southwark 005E,E01003933,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,50,,0,,1000,,50,,350
Southwark 005A,E01003928,2000,,0,,0,,0,,5,,40,,700,,50,,0,,5,,0,,750,,15,,1875,,75,,250,,250,,700
Southwark 006B,E01003940,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,15,,0,,0
Southwark 006C,E01003941,5,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,30,,0,,70,,0,,5,,30,,20
Southwark 006D,E01003942,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25,,0,,250,,0,,0
Southwark 006E,E01003979,400,,0,,0,,30,,0,,0,,150,,450,,300,,0,,0,,20,,0,,250,,150,,50,,500,,25
Southwark 006F,E01003981,75,,0,,0,,0,,0,,0,,75,,20,,200,,0,,175,,400,,50,,800,,450,,1750,,250,,30
Southwark 006A,E01003938,0,,0,,0,,0,,0,,5,,75,,0,,0,,0,,0,,25,,0,,550,,0,,0,,5,,10
Southwark 007C,E01004033,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,10,,0,,15,,0,,50,,5,,5
Southwark 007D,E01004034,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,25,,0,,10,,0,,0,,15,,0
Southwark 007E,E01004036,5,,0,,0,,0,,0,,0,,15,,0,,5,,0,,0,,0,,0,,10,,0,,0,,5,,5
Southwark 007A,E01004030,125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,35,,0,,40,,50,,15
Southwark 007B,E01004031,10,,0,,0,,0,,0,,0,,30,,0,,30,,0,,0,,50,,0,,250,,0,,40,,30,,175
Southwark 008A,E01004056,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,10,,20,,0,,30,,0,,0,,10,,10
Southwark 008B,E01004057,10,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,20,,0,,45,,0,,30,,150,,35
Southwark 008C,E01004058,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,20,,0,,35,,0,,0,,0,,10
Southwark 008D,E01004059,300,,0,,0,,0,,0,,0,,20,,5,,0,,0,,0,,40,,0,,1125,,0,,0,,0,,5
Southwark 008E,E01004060,0,,0,,0,,0,,0,,5,,35,,0,,10,,0,,0,,30,,0,,110,,0,,0,,5,,5
Southwark 009E,E01003959,0,,0,,0,,0,,0,,5,,30,,5,,40,,0,,5,,0,,0,,50,,0,,20,,15,,75
Southwark 009C,E01003943,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,5,,40,,0
Southwark 009D,E01003944,0,,0,,0,,0,,0,,30,,5,,0,,0,,0,,0,,5,,0,,35,,0,,30,,125,,0
Southwark 009A,E01003936,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,40,,0,,80,,0,,0,,50,,10
Southwark 009B,E01003937,5,,75,,0,,0,,0,,20,,10,,30,,0,,0,,0,,20,,0,,180,,1500,,75,,275,,10
Southwark 010A,E01003977,5,,0,,0,,0,,0,,0,,20,,0,,0,,0,,0,,0,,0,,5,,0,,50,,5,,5
Southwark 010D,E01004042,5,,0,,0,,0,,0,,5,,5,,0,,35,,0,,5,,0,,0,,400,,0,,45,,45,,30
Southwark 010E,E01004043,0,,0,,0,,0,,0,,0,,0,,100,,0,,0,,0,,5,,0,,50,,0,,50,,50,,0
Southwark 010B,E01004037,0,,0,,0,,0,,0,,5,,5,,10,,0,,0,,0,,0,,0,,175,,0,,10,,15,,5
Southwark 010C,E01004038,0,,0,,0,,0,,0,,15,,150,,50,,0,,0,,0,,5,,0,,500,,0,,200,,0,,0
Southwark 011D,E01004035,0,,0,,0,,0,,0,,25,,10,,0,,0,,0,,0,,0,,0,,5,,0,,150,,45,,0
Southwark 011C,E01004024,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,10,,0,,50,,35,,0
Southwark 011A,E01003986,10,,0,,0,,0,,0,,35,,175,,0,,0,,0,,0,,0,,0,,5,,0,,0,,15,,10
Southwark 011B,E01003987,0,,0,,0,,0,,0,,5,,40,,75,,0,,0,,0,,5,,0,,20,,0,,50,,0,,0
Southwark 012E,E01003994,5,,0,,0,,0,,0,,5,,0,,20,,40,,0,,0,,5,,0,,125,,50,,45,,125,,125
Southwark 012A,E01003960,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,20,,5
Southwark 012B,E01003961,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,75,,10,,10
Southwark 012C,E01003962,0,,0,,0,,0,,0,,15,,5,,0,,0,,0,,0,,0,,0,,5,,40,,50,,20,,0
Southwark 012D,E01003965,0,,0,,0,,0,,0,,0,,45,,0,,15,,0,,0,,5,,0,,75,,200,,45,,75,,10
Southwark 013A,E01003980,0,,0,,0,,0,,0,,10,,250,,100,,0,,0,,0,,5,,0,,15,,0,,0,,30,,50
Southwark 013B,E01004039,5,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,0,,0,,0
Southwark 013C,E01004040,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,30,,75,,0,,0,,0
Southwark 013D,E01004041,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0
Southwark 013E,E01004044,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,5
Southwark 014B,E01003995,5,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,275,,0,,35,,0,,5
Southwark 014C,E01003996,0,,0,,0,,0,,0,,15,,10,,75,,0,,0,,5,,45,,0,,70,,400,,5,,150,,15
Southwark 014D,E01003998,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,10,,0,,75,,10,,0,,50,,15
Southwark 014E,E01003999,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,5,,0,,45,,20,,5
Southwark 014A,E01003992,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,0,,0
Southwark 015E,E01003974,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,35,,0
Southwark 015D,E01003971,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0,,5,,75
Southwark 015C,E01003968,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,0
Southwark 015A,E01003964,0,,0,,0,,0,,0,,75,,20,,0,,0,,0,,0,,5,,0,,100,,0,,150,,35,,10
Southwark 015B,E01003966,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,5,,0,,30,,0,,0,,25,,5
Southwark 016B,E01003967,0,,0,,0,,0,,0,,0,,25,,0,,0,,0,,0,,0,,0,,10,,0,,175,,25,,5
Southwark 016A,E01003963,0,,0,,0,,0,,0,,15,,5,,0,,0,,0,,0,,0,,0,,10,,0,,40,,0,,5
Southwark 016C,E01003970,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,10,,225,,50,,75,,0
Southwark 016D,E01003972,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,75,,40,,0,,250,,5
Southwark 016E,E01003973,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,15,,0,,0,,0,,5
Southwark 017B,E01003969,5,,0,,0,,15,,0,,5,,10,,5,,25,,0,,0,,10,,0,,75,,0,,45,,300,,30
Southwark 017D,E01003993,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,20,,0
Southwark 017E,E01003997,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,20,,0
Southwark 017A,E01003923,5,,0,,0,,0,,0,,25,,5,,0,,0,,0,,0,,5,,0,,400,,0,,75,,50,,15
Southwark 017C,E01003991,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,5
Southwark 018B,E01003988,50,,0,,0,,0,,0,,100,,450,,15,,0,,0,,0,,25,,0,,120,,0,,75,,20,,15
Southwark 018C,E01003989,20,,15,,0,,0,,0,,0,,75,,0,,0,,0,,0,,5,,0,,35,,0,,0,,5,,10
Southwark 018D,E01003990,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,50,,15,,0
Southwark 018E,E01004007,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,5,,0,,0,,50,,5
Southwark 018A,E01003983,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,125,,20,,0
Southwark 019B,E01004011,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,30,,0,,10,,0,,0
Southwark 019C,E01004012,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,15,,0,,100,,45,,0
Southwark 019D,E01004013,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,0,,0,,0,,30,,0,,0,,20,,0
Southwark 019E,E01004014,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,35,,20,,0
Southwark 019A,E01003912,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,5,,0,,0,,0,,0,,20,,0
Southwark 020B,E01003916,0,,0,,0,,0,,0,,10,,5,,0,,0,,0,,0,,20,,0,,225,,50,,200,,75,,20
Southwark 020C,E01003917,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,10,,0,,0,,250,,25
Southwark 020D,E01003918,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,50,,0
Southwark 020E,E01003925,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,100,,75,,0
Southwark 020A,E01003911,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,5,,0,,100,,350,,0,,15,,5
Southwark 021F,E01003926,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,200,,5,,15
Southwark 021E,E01003924,0,,0,,0,,0,,0,,5,,15,,5,,0,,0,,0,,0,,5,,300,,0,,0,,40,,5
Southwark 021A,E01003919,0,,0,,0,,0,,0,,15,,5,,0,,0,,0,,0,,5,,0,,100,,0,,100,,50,,20
Southwark 021B,E01003920,5,,0,,0,,0,,0,,0,,30,,0,,0,,0,,0,,5,,10,,90,,40,,75,,10,,10
Southwark 021C,E01003921,0,,0,,0,,0,,0,,0,,10,,10,,50,,0,,0,,0,,0,,75,,75,,0,,150,,150
Southwark 021D,E01003922,10,,0,,0,,0,,0,,0,,75,,150,,40,,0,,0,,50,,0,,250,,100,,75,,75,,30
Southwark 022B,E01004008,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,0,,0,,5,,25,,25,,100,,0
Southwark 022C,E01004009,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,75,,50,,10
Southwark 022D,E01004010,0,,0,,0,,0,,0,,5,,20,,0,,35,,0,,0,,0,,0,,75,,0,,50,,25,,50
Southwark 022A,E01003985,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,45,,0,,0,,5
Southwark 022E,E01004067,0,,0,,0,,0,,0,,0,,5,,100,,50,,0,,0,,5,,0,,25,,100,,225,,225,,30
Southwark 023A,E01003984,0,,0,,0,,0,,0,,40,,0,,0,,0,,0,,0,,10,,0,,10,,0,,0,,50,,5
Southwark 023B,E01004003,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,5,,0,,45,,0,,0,,0,,10
Southwark 023C,E01004004,5,,0,,0,,0,,0,,0,,10,,100,,0,,0,,0,,10,,0,,75,,15,,100,,45,,10
Southwark 023D,E01004005,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,10,,0,,150,,75,,0
Southwark 023E,E01004006,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0
Southwark 024A,E01003913,0,,0,,0,,0,,0,,0,,10,,0,,0,,5,,10,,10,,10,,325,,0,,50,,200,,40
Southwark 024B,E01003914,5,,0,,0,,0,,0,,25,,0,,0,,5,,0,,0,,10,,0,,75,,25,,400,,5,,25
Southwark 024C,E01003915,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,15,,0,,15,,0,,0
Southwark 024D,E01004050,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,20,,35,,0,,0,,5
Southwark 024E,E01004052,0,,0,,0,,0,,0,,10,,15,,0,,0,,0,,0,,5,,0,,40,,0,,0,,35,,40
Southwark 025D,E01004065,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,10,,0,,20,,0,,50,,10,,5
Southwark 025E,E01004066,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,15,,100,,0,,15,,5
Southwark 025A,E01004061,20,,0,,0,,15,,0,,5,,15,,0,,20,,0,,0,,0,,0,,35,,0,,50,,30,,20
Southwark 025B,E01004062,25,,0,,0,,0,,0,,0,,10,,15,,30,,0,,0,,5,,0,,75,,200,,0,,100,,50
Southwark 025C,E01004063,10,,0,,0,,0,,0,,5,,10,,5,,0,,0,,0,,15,,0,,40,,0,,40,,300,,20
Southwark 026D,E01004064,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,,0,,50,,75,,5
Southwark 026E,E01004068,0,,0,,0,,0,,0,,15,,35,,0,,0,,0,,0,,5,,0,,10,,0,,40,,25,,10
Southwark 026A,E01004000,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,35,,0,,50,,5,,0
Southwark 026B,E01004001,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,10,,0,,0,,25,,10
Southwark 026C,E01004019,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,15,,0,,10,,50,,5
Southwark 027E,E01004051,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,5,,0,,0,,25,,0,,10,,45,,15
Southwark 027A,E01004045,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,5,,10
Southwark 027B,E01004047,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,50,,0,,0,,5
Southwark 027C,E01004048,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,30,,0,,175,,15,,5
Southwark 027D,E01004049,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25,,0,,1500,,0,,15
Southwark 028E,E01004046,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,30,,0,,5,,25,,20
Southwark 028D,E01004021,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,5,,0,,45,,0,,0,,25,,15
Southwark 028C,E01004015,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,5,,0,,25,,0,,15,,30,,10
Southwark 028A,E01003953,5,,0,,0,,0,,0,,0,,50,,0,,0,,0,,0,,10,,0,,100,,10,,50,,200,,75
Southwark 028B,E01003955,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,10,,0,,30,,0,,5,,30,,10
Southwark 029B,E01004016,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,20,,0,,75,,5,,20
Southwark 029C,E01004017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,50,,35,,15
Southwark 029D,E01004020,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,5,,0,,125,,0,,15
Southwark 029A,E01004002,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,50,,5,,10
Southwark 030C,E01003956,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,250,,5,,45,,50,,10
Southwark 030A,E01003952,0,,0,,0,,0,,0,,0,,10,,10,,35,,0,,5,,10,,0,,40,,0,,0,,35,,30
Southwark 030B,E01003954,0,,0,,0,,0,,0,,5,,10,,45,,0,,0,,0,,5,,0,,20,,0,,0,,20,,0
Southwark 030D,E01004071,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,5,,0,,20,,0,,0,,10,,5
Southwark 030E,E01004072,0,,0,,0,,0,,0,,0,,5,,0,,10,,0,,5,,5,,0,,60,,0,,300,,175,,10
Southwark 031C,E01004073,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,30,,0,,0,,5,,5
Southwark 031D,E01004074,40,,0,,0,,0,,0,,20,,15,,5,,0,,0,,0,,10,,0,,70,,0,,50,,75,,20
Southwark 031E,E01004075,0,,0,,0,,0,,0,,25,,20,,20,,5,,35,,0,,10,,0,,35,,0,,5,,10,,10
Southwark 031A,E01004069,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,45,,0,,125,,15,,75
Southwark 031B,E01004070,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,45,,0,,225,,15,,100
Southwark 032A,E01003949,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,45,,0,,5,,30,,15
Southwark 032B,E01003950,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,0,,0,,5,,10
Southwark 032C,E01003957,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,15,,20,,100,,75,,15
Southwark 032D,E01003958,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,20,,0,,45,,20,,10
Southwark 032E,E01004018,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,20,,0,,0,,50,,5
Southwark 033E,E01003951,15,,0,,0,,0,,0,,0,,5,,35,,15,,0,,0,,5,,0,,25,,0,,500,,10,,15
Southwark 033A,E01003945,5,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,15,,0,,40,,0,,0,,0,,5
Southwark 033B,E01003946,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,30,,0,,300,,75,,5
Southwark 033C,E01003947,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,75,,0,,0
Southwark 033D,E01003948,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,25,,0,,30,,45,,10
Tower Hamlets 001A,E01004222,0,,0,,0,,0,,0,,0,,5,,0,,15,,0,,0,,5,,0,,5,,50,,100,,5,,10
Tower Hamlets 001B,E01004223,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,15,,0
Tower Hamlets 001C,E01004224,125,,25,,0,,0,,10,,50,,200,,0,,0,,0,,0,,5,,0,,50,,5,,0,,100,,5
Tower Hamlets 001D,E01004226,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,50,,0,,0,,40,,10
Tower Hamlets 002A,E01004197,20,,0,,0,,0,,0,,45,,200,,20,,0,,0,,0,,20,,0,,100,,0,,200,,75,,40
Tower Hamlets 002B,E01004198,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,20,,0,,75,,100,,125
Tower Hamlets 002C,E01004199,10,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,15,,0,,0,,40,,5
Tower Hamlets 002D,E01004201,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,10,,0,,100,,450,,5
Tower Hamlets 003C,E01004232,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,35,,0,,300,,35,,10
Tower Hamlets 003D,E01004233,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,5,,0,,0,,0,,0
Tower Hamlets 003E,E01004234,5,,0,,0,,0,,0,,5,,5,,5,,0,,0,,0,,10,,0,,30,,0,,50,,0,,50
