2001 super output areas - lower layer,mnemonic,"22 : Publishing, printing and reproduction of recorded media",,24 : Manufacture of chemicals and chemical products,,30 : Manufacture of office machinery and computers,,"32 : Manufacture of radio, television and communication equipment and apparatus",,"33 : Manufacture of medical, precision and optical instruments, watches and clocks",,"50 : Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel",,"51 : Wholesale trade and commission trade, except of motor vehicles and motorcycles",,64 : Post and telecommunications,,"65 : Financial intermediation, except insurance and pension funding",,"66 : Insurance and pension funding, except compulsory social security",,67 : Activities auxiliary to financial intermediation,,72 : Computer and related activites,,73 : Research and development,,74 : Other business activities,,75 : Public administration and defence; compulsory social security,,80 : Education,,85 : Health and social work,,"92 : Recreational, cultural and sporting activities"
Camden 009C,E01000924,30,,0,,0,,0,,0,,0,,50,,0,,0,,0,,0,,5,,0,,30,,0,,0,,50,,30
Camden 009D,E01000925,0,,0,,0,,0,,0,,0,,40,,0,,0,,0,,0,,20,,0,,30,,0,,0,,30,,15
Camden 009E,E01000926,0,,0,,0,,15,,0,,0,,5,,0,,0,,0,,0,,15,,0,,70,,0,,125,,5,,15
Camden 010A,E01000969,15,,0,,0,,0,,0,,5,,10,,10,,15,,0,,10,,15,,0,,80,,75,,0,,45,,120
Camden 010B,E01000970,5,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,20,,0,,0,,15,,20
Camden 010C,E01000971,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,25,,0,,0,,15,,5
Camden 010D,E01000972,0,,0,,0,,0,,0,,350,,5,,0,,0,,0,,5,,10,,0,,325,,0,,5,,25,,50
Camden 010E,E01000973,30,,0,,0,,0,,0,,25,,250,,0,,0,,0,,10,,30,,0,,80,,10,,5,,200,,25
Camden 011B,E01000844,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,0,,40,,0,,300,,20,,5
Camden 011C,E01000848,0,,0,,0,,0,,0,,5,,5,,0,,0,,0,,0,,10,,0,,60,,0,,0,,40,,15
Camden 011D,E01000849,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,5,,5,,0,,80,,0,,10,,75,,60
Camden 011A,E01000842,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,15,,0,,75,,35,,25,,10,,10
Camden 012B,E01000902,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,5,,0,,15,,0,,0,,50,,5
Camden 012C,E01000904,5,,0,,0,,0,,0,,0,,20,,0,,5,,0,,0,,10,,0,,160,,0,,50,,125,,30
Camden 012D,E01000905,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,20,,0,,0,,5,,5
Camden 012E,E01000906,25,,0,,0,,0,,0,,0,,20,,0,,0,,5,,5,,10,,0,,60,,35,,0,,0,,35
Camden 012A,E01000900,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,10,,0,,125,,45,,15
Camden 013C,E01000931,10,,0,,0,,0,,0,,0,,45,,10,,10,,0,,0,,5,,0,,140,,10,,0,,75,,10
Camden 013D,E01000932,10,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,15,,0,,25,,0,,0,,35,,5
Camden 013A,E01000875,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,20,,0,,10,,25,,5
Camden 013B,E01000876,5,,0,,0,,0,,0,,0,,20,,0,,0,,0,,15,,75,,0,,35,,0,,50,,5,,10
Camden 013E,E01000974,10,,0,,0,,0,,0,,50,,30,,5,,0,,0,,0,,30,,0,,60,,0,,0,,10,,5
Camden 014A,E01000843,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,35,,0,,0,,5,,15
Camden 014B,E01000845,0,,0,,0,,0,,0,,5,,25,,0,,0,,0,,0,,5,,0,,50,,0,,35,,40,,25
Camden 014C,E01000846,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,25,,0,,0,,25,,5
Camden 014D,E01000847,0,,0,,0,,0,,5,,0,,20,,0,,0,,0,,0,,5,,0,,15,,0,,0,,0,,75
Camden 015A,E01000864,5,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,5,,0,,15,,0,,75,,0,,15
Camden 015B,E01000865,30,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,15,,0,,140,,0,,150,,35,,15
Camden 015C,E01000867,25,,0,,0,,0,,0,,20,,5,,0,,0,,0,,0,,20,,0,,30,,0,,35,,250,,75
Camden 015D,E01000868,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,10,,0,,0,,45,,5
Camden 015E,E01000869,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,10,,0,,80,,0,,0,,40,,20
Camden 016B,E01000964,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,5,,0,,20,,0,,20,,15,,5
Camden 016C,E01000965,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,30,,0,,25,,75,,15
Camden 016D,E01000966,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25,,0,,35,,0,,5,,5,,10
Camden 016A,E01000962,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,5,,15,,0,,100,,0,,30,,225,,10
Camden 016E,E01000968,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,25,,0,,25,,0,,0,,15,,5
Camden 017C,E01000963,1250,,0,,0,,0,,0,,0,,25,,0,,25,,0,,0,,0,,0,,110,,100,,45,,75,,450
Camden 017D,E01000967,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,30,,0,,0,,0,,10
Camden 017A,E01000960,15,,0,,0,,0,,0,,0,,30,,30,,20,,0,,0,,50,,0,,375,,0,,10,,25,,35
Camden 017B,E01000961,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,5,,0,,20,,0,,0,,0,,5
Camden 018E,E01000862,600,,0,,0,,0,,0,,10,,20,,5,,0,,0,,0,,80,,5,,600,,0,,100,,20,,350
Camden 018A,E01000857,45,,0,,0,,0,,0,,0,,15,,0,,0,,0,,5,,5,,0,,45,,0,,10,,15,,100
Camden 018B,E01000858,10,,0,,0,,0,,0,,5,,15,,0,,0,,0,,5,,0,,0,,100,,0,,0,,0,,10
Camden 018C,E01000859,10,,0,,0,,0,,0,,0,,225,,0,,0,,0,,0,,10,,0,,275,,0,,5,,35,,150
Camden 018D,E01000860,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,200,,0,,5,,25,,20
Camden 019B,E01000861,10,,0,,0,,0,,0,,0,,20,,40,,5,,0,,0,,50,,5,,650,,100,,0,,100,,275
