2011 super output area - lower layer,mnemonic,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,,"26 : Manufacture of computer, electronic and optical products"
Kensington and Chelsea 010B,E01002889,0,,5
Kensington and Chelsea 010C,E01002890,0,,0
Kensington and Chelsea 010D,E01002891,0,,0
Kensington and Chelsea 010E,E01002892,0,,0
Kensington and Chelsea 011A,E01002813,0,,0
Kensington and Chelsea 011B,E01002815,0,,0
Kensington and Chelsea 011C,E01002816,0,,0
Kensington and Chelsea 011D,E01002817,0,,0
Kensington and Chelsea 011E,E01002865,0,,0
Kensington and Chelsea 012A,E01002818,0,,0
Kensington and Chelsea 012B,E01002819,0,,0
Kensington and Chelsea 012C,E01002859,0,,0
Kensington and Chelsea 012D,E01002860,0,,0
Kensington and Chelsea 012E,E01002863,0,,0
Kensington and Chelsea 013A,E01002812,0,,0
Kensington and Chelsea 013B,E01002834,0,,0
Kensington and Chelsea 013C,E01002839,0,,0
Kensington and Chelsea 013D,E01002850,0,,0
Kensington and Chelsea 013E,E01002888,0,,0
Kensington and Chelsea 014A,E01002821,0,,5
Kensington and Chelsea 014B,E01002823,0,,0
Kensington and Chelsea 014C,E01002858,0,,0
Kensington and Chelsea 014D,E01002861,0,,0
Kensington and Chelsea 014E,E01002862,0,,0
Kensington and Chelsea 015A,E01002814,0,,0
Kensington and Chelsea 015B,E01002847,0,,0
Kensington and Chelsea 015C,E01002848,0,,0
Kensington and Chelsea 015D,E01002851,0,,0
Kensington and Chelsea 016A,E01002820,0,,0
Kensington and Chelsea 016B,E01002822,0,,0
Kensington and Chelsea 016C,E01002835,0,,5
Kensington and Chelsea 016D,E01002836,0,,0
Kensington and Chelsea 016E,E01002837,0,,0
Kensington and Chelsea 017A,E01002846,0,,0
Kensington and Chelsea 017B,E01002849,0,,0
Kensington and Chelsea 017C,E01002893,0,,0
Kensington and Chelsea 017D,E01002894,0,,0
Kensington and Chelsea 017E,E01002898,0,,0
Kensington and Chelsea 018A,E01002899,0,,0
Kensington and Chelsea 018B,E01002900,0,,0
Kensington and Chelsea 018C,E01002901,0,,0
Kensington and Chelsea 018D,E01002902,0,,5
Kensington and Chelsea 018E,E01002903,0,,0
Kensington and Chelsea 019A,E01002844,0,,0
Kensington and Chelsea 019B,E01002845,0,,0
Kensington and Chelsea 019C,E01002910,0,,0
Kensington and Chelsea 019D,E01002911,0,,0
Kensington and Chelsea 019E,E01002914,0,,0
Kensington and Chelsea 020A,E01002838,0,,0
Kensington and Chelsea 020B,E01002895,0,,0
Kensington and Chelsea 020C,E01002896,0,,0
Kensington and Chelsea 020D,E01002897,0,,0
Kensington and Chelsea 020E,E01002912,0,,0
Kensington and Chelsea 021A,E01002840,0,,0
Kensington and Chelsea 021B,E01002841,0,,0
Kensington and Chelsea 021C,E01002842,0,,0
Kensington and Chelsea 021D,E01002843,0,,0
Kensington and Chelsea 021E,E01002913,0,,0
Lambeth 002A,E01003015,0,,0
Lambeth 002B,E01003108,0,,10
Lambeth 002C,E01003110,0,,0
Lambeth 002D,E01003111,0,,0
Lambeth 002E,E01003112,0,,5
Lambeth 003A,E01003101,0,,0
Lambeth 003B,E01003105,0,,0
Lambeth 003C,E01003106,0,,0
Lambeth 003D,E01003107,0,,0
Lambeth 003E,E01003109,0,,0
Lambeth 004A,E01003102,0,,0
Lambeth 004C,E01003104,0,,0
Lambeth 004D,E01003122,0,,0
Lambeth 004E,E01003129,0,,0
Lambeth 004F,E01033207,0,,0
Lambeth 004G,E01033208,0,,0
Lambeth 005A,E01003098,0,,0
Lambeth 005B,E01003099,0,,0
Lambeth 005C,E01003100,0,,0
Lambeth 005D,E01003180,0,,0
Lambeth 005E,E01003183,0,,0
Lambeth 006A,E01003097,0,,0
Lambeth 006B,E01003121,0,,0
Lambeth 006C,E01003123,0,,0
Lambeth 006D,E01003124,0,,0
Lambeth 006E,E01003125,0,,0
Lambeth 007A,E01003181,0,,0
Lambeth 007B,E01003184,0,,0
Lambeth 007C,E01003185,0,,0
Lambeth 007D,E01003186,0,,0
Lambeth 007E,E01003187,0,,0
Lambeth 008A,E01003089,0,,0
Lambeth 008B,E01003091,0,,0
Lambeth 008C,E01003092,0,,0
Lambeth 008D,E01003126,0,,0
Lambeth 008E,E01003128,0,,0
Lambeth 009A,E01003046,0,,0
Lambeth 009B,E01003048,0,,0
Lambeth 009C,E01003075,0,,0
Lambeth 009D,E01003182,0,,0
Lambeth 009E,E01003188,0,,0
Lambeth 010A,E01003088,0,,0
Lambeth 010B,E01003093,0,,0
Lambeth 010C,E01003094,0,,0
Lambeth 010D,E01003096,0,,0
Lambeth 010E,E01003127,0,,0
Lambeth 011A,E01003045,0,,0
Lambeth 011B,E01003047,0,,0
Lambeth 011C,E01003049,0,,0
Lambeth 011D,E01003059,0,,0
Lambeth 011E,E01003060,0,,0
Lambeth 011F,E01003061,0,,0
Lambeth 012A,E01003034,0,,0
Lambeth 012B,E01003035,0,,0
Lambeth 012C,E01003036,0,,0
Lambeth 012D,E01003090,0,,0
Lambeth 012E,E01003095,0,,0
Lambeth 013A,E01003037,0,,0
Lambeth 013B,E01003038,0,,0
Lambeth 013C,E01003039,0,,0
Lambeth 013D,E01003040,0,,0
Lambeth 013E,E01003042,0,,0
Lambeth 014A,E01003072,0,,0
Lambeth 014B,E01003073,0,,0
Lambeth 014C,E01003076,0,,0
Lambeth 014D,E01003077,0,,0
Lambeth 014E,E01003078,0,,0
Lambeth 015A,E01003019,0,,0
Lambeth 015B,E01003053,0,,20
Lambeth 015C,E01003054,0,,0
Lambeth 015D,E01003056,0,,0
Lambeth 015E,E01003058,0,,0
Lambeth 016A,E01003020,0,,0
Lambeth 016B,E01003050,0,,0
Lambeth 016C,E01003052,0,,0
Lambeth 016D,E01003055,0,,0
Lambeth 016E,E01003176,0,,0
Lambeth 017A,E01003029,0,,0
Lambeth 017B,E01003032,0,,0
Lambeth 017C,E01003041,0,,0
Lambeth 017D,E01003057,0,,0
Lambeth 018A,E01003043,0,,0
Lambeth 018B,E01003044,0,,0
Lambeth 018C,E01003051,0,,20
Lambeth 018D,E01003071,0,,0
Lambeth 018E,E01003074,0,,0
Lambeth 019A,E01003026,0,,0
Lambeth 019B,E01003027,0,,0
Lambeth 019C,E01003028,0,,0
Lambeth 019D,E01003030,0,,0
Lambeth 019E,E01003033,0,,0
Lambeth 020A,E01003018,0,,0
Lambeth 020B,E01003171,0,,0
Lambeth 020C,E01003173,0,,0
Lambeth 020D,E01003177,0,,0
Lambeth 020E,E01003178,0,,0
Lambeth 021A,E01003021,0,,0
Lambeth 021B,E01003022,0,,0
Lambeth 021C,E01003023,0,,0
Lambeth 021D,E01003024,0,,0
Lambeth 021E,E01003025,0,,0
Lambeth 022A,E01003136,0,,0
Lambeth 022B,E01003137,0,,0
Lambeth 022C,E01003159,0,,0
Lambeth 022D,E01003160,0,,0
Lambeth 022E,E01003162,0,,0
Lambeth 023A,E01003031,0,,0
Lambeth 023B,E01003156,0,,0
Lambeth 023C,E01003157,0,,0
Lambeth 023D,E01003158,0,,0
Lambeth 023E,E01003161,0,,0
Lambeth 023F,E01003163,0,,5
Lambeth 024A,E01003132,0,,0
Lambeth 024B,E01003172,0,,0
Lambeth 024C,E01003174,0,,0
Lambeth 024D,E01003175,0,,0
Lambeth 024E,E01003179,0,,0
Lambeth 025A,E01003164,0,,0
Lambeth 025B,E01003165,0,,0
Lambeth 025C,E01003168,0,,0
Lambeth 025D,E01003169,0,,0
Lambeth 025E,E01003170,0,,0
Lambeth 026A,E01003130,0,,0
Lambeth 026B,E01003131,0,,0
Lambeth 026C,E01003135,0,,0
Lambeth 026D,E01003138,0,,0
Lambeth 026E,E01003151,0,,0
Lambeth 027A,E01003079,0,,0
Lambeth 027B,E01003080,0,,0
Lambeth 027C,E01003133,0,,0
Lambeth 027D,E01003134,0,,0
Lambeth 027E,E01003152,0,,0
Lambeth 028A,E01003064,0,,0
Lambeth 028B,E01003066,0,,5
Lambeth 028C,E01003081,0,,0
Lambeth 028D,E01003166,0,,0
Lambeth 028E,E01003167,0,,0
Lambeth 029A,E01003116,0,,5
Lambeth 029B,E01003117,0,,0
Lambeth 029C,E01003118,0,,0
Lambeth 029D,E01003153,0,,0
Lambeth 029E,E01003155,0,,0
Lambeth 030A,E01003083,0,,0
Lambeth 030B,E01003084,0,,0
Lambeth 030C,E01003085,0,,0
Lambeth 030D,E01003149,0,,0
Lambeth 030E,E01003154,0,,0
Lambeth 031A,E01003065,0,,0
Lambeth 031B,E01003068,0,,0
Lambeth 031C,E01003082,0,,0
Lambeth 031D,E01003086,0,,0
Lambeth 031E,E01003087,0,,0
Lambeth 032A,E01003113,0,,0
Lambeth 032B,E01003114,0,,0
Lambeth 032C,E01003119,0,,0
Lambeth 032D,E01003120,0,,0
Lambeth 032E,E01003148,0,,0
Lambeth 032F,E01003150,0,,0
Lambeth 033A,E01003062,0,,0
Lambeth 033B,E01003063,0,,0
Lambeth 033C,E01003067,0,,0
Lambeth 033D,E01003069,0,,0
Lambeth 033E,E01003070,0,,0
Lambeth 034A,E01003115,0,,0
Lambeth 034B,E01003141,0,,0
Lambeth 034C,E01003144,0,,0
Lambeth 034D,E01003145,0,,0
Lambeth 034E,E01003147,0,,0
Lambeth 035A,E01003139,0,,0
Lambeth 035B,E01003140,0,,0
Lambeth 035C,E01003142,0,,0
Lambeth 035D,E01003143,0,,0
Lambeth 035E,E01003146,0,,0
Lambeth 036A,E01003013,0,,0
Lambeth 036B,E01003014,0,,0
Lambeth 036C,E01003016,0,,0
Lambeth 036D,E01003017,0,,0
Lambeth 036E,E01032582,0,,0
Lewisham 001A,E01003244,0,,0
Lewisham 001B,E01003245,0,,0
Lewisham 001C,E01003247,0,,0
Lewisham 001D,E01003249,0,,0
Lewisham 001E,E01003250,0,,0
Lewisham 002A,E01003246,0,,0
Lewisham 002B,E01003248,0,,0
Lewisham 002C,E01003251,0,,0
Lewisham 002D,E01003252,0,,0
Lewisham 002E,E01003253,0,,0
Lewisham 003A,E01003297,0,,0
Lewisham 003B,E01003299,0,,0
Lewisham 003C,E01003301,0,,0
Lewisham 003D,E01003302,0,,0
Lewisham 003E,E01003305,0,,0
Lewisham 005A,E01003207,0,,0
Lewisham 005B,E01003209,0,,0
Lewisham 005C,E01003210,0,,0
Lewisham 005D,E01003212,0,,0
Lewisham 005E,E01003215,0,,0
Lewisham 006A,E01003338,0,,0
Lewisham 006B,E01003339,0,,0
Lewisham 006C,E01003340,0,,0
Lewisham 006D,E01003341,0,,0
Lewisham 006E,E01003343,0,,0
Lewisham 007A,E01003199,0,,0
Lewisham 007B,E01003201,0,,0
Lewisham 007C,E01003204,0,,10
Lewisham 007D,E01003205,0,,0
Lewisham 007E,E01003206,0,,0
Lewisham 008B,E01003211,0,,0
Lewisham 008C,E01003213,0,,0
Lewisham 008D,E01003214,0,,0
Lewisham 008E,E01033324,0,,0
Lewisham 008F,E01033325,0,,0
Lewisham 009A,E01003198,0,,0
Lewisham 009B,E01003200,0,,0
Lewisham 009C,E01003202,0,,0
Lewisham 009D,E01003203,0,,0
Lewisham 010A,E01003336,0,,0
Lewisham 010B,E01003337,0,,0
Lewisham 010C,E01003342,0,,0
Lewisham 010D,E01003344,0,,0
Lewisham 010E,E01003345,0,,0
Lewisham 011A,E01003273,0,,0
Lewisham 011B,E01003277,0,,0
Lewisham 011C,E01003278,0,,0
Lewisham 011D,E01003279,0,,0
Lewisham 012A,E01003288,0,,0
Lewisham 012C,E01003290,0,,0
Lewisham 012D,E01003291,0,,0
Lewisham 012E,E01003296,0,,0
Lewisham 012F,E01033327,0,,0
Lewisham 012G,E01033341,0,,0
Lewisham 013A,E01003282,0,,0
Lewisham 013B,E01003283,0,,0
Lewisham 013C,E01003284,0,,0
Lewisham 013D,E01003286,0,,0
Lewisham 014A,E01003272,0,,0
Lewisham 014B,E01003274,0,,0
Lewisham 014C,E01003275,0,,0
Lewisham 014D,E01003276,0,,0
Lewisham 015A,E01003225,0,,0
Lewisham 015B,E01003231,0,,0
Lewisham 015C,E01003232,0,,0
Lewisham 015D,E01003233,0,,0
Lewisham 016A,E01003280,0,,0
Lewisham 016B,E01003281,0,,0
Lewisham 016C,E01003285,0,,0
Lewisham 016D,E01003287,0,,0
Lewisham 017A,E01003292,0,,0
Lewisham 017B,E01003293,0,,0
Lewisham 017D,E01003295,0,,0
Lewisham 017E,E01033320,0,,0
Lewisham 017F,E01033322,0,,0
Lewisham 018A,E01003319,0,,0
Lewisham 018B,E01003320,0,,0
Lewisham 018C,E01003323,0,,0
Lewisham 018D,E01003325,0,,0
Lewisham 019A,E01003226,0,,0
Lewisham 019B,E01003227,0,,0
Lewisham 019C,E01003228,0,,0
Lewisham 019D,E01003229,0,,0
Lewisham 019E,E01003230,0,,0
Lewisham 020A,E01003317,0,,0
Lewisham 020B,E01003318,0,,0
Lewisham 020C,E01003321,0,,0
Lewisham 020D,E01003322,0,,0
Lewisham 020E,E01003324,0,,0
Lewisham 021A,E01003254,0,,0
Lewisham 021B,E01003255,0,,0
Lewisham 021C,E01003260,0,,0
Lewisham 021D,E01003261,0,,0
Lewisham 021E,E01003262,0,,0
Lewisham 022A,E01003217,0,,0
Lewisham 022B,E01003218,0,,0
Lewisham 022C,E01003220,0,,0
Lewisham 022D,E01003222,0,,0
Lewisham 022E,E01003224,0,,0
Lewisham 023A,E01003263,0,,0
Lewisham 023B,E01003268,0,,0
Lewisham 023C,E01003269,0,,0
Lewisham 023D,E01003270,0,,0
Lewisham 023E,E01003271,0,,0
Lewisham 024A,E01003307,0,,0
Lewisham 024B,E01003308,0,,0
Lewisham 024C,E01003314,0,,0
Lewisham 024D,E01003315,0,,0
Lewisham 024E,E01003316,0,,0
Lewisham 025A,E01003216,0,,0
Lewisham 025B,E01003219,0,,0
Lewisham 025C,E01003221,0,,0
Lewisham 025D,E01003223,0,,0
Lewisham 026A,E01003346,0,,0
Lewisham 026B,E01003349,0,,0
Lewisham 026C,E01003351,0,,0
Lewisham 026D,E01003354,0,,0
Lewisham 027A,E01003309,0,,0
Lewisham 027B,E01003310,0,,0
Lewisham 027C,E01003311,0,,0
Lewisham 027D,E01003312,0,,0
Lewisham 027E,E01003313,0,,0
Lewisham 028A,E01003256,0,,0
Lewisham 028B,E01003257,0,,0
Lewisham 028C,E01003258,0,,0
Lewisham 028D,E01003259,0,,0
Lewisham 029A,E01003193,0,,0
Lewisham 029B,E01003194,0,,0
Lewisham 029C,E01003195,0,,0
Lewisham 029D,E01003196,0,,0
Lewisham 029E,E01003197,0,,0
Lewisham 030A,E01003347,0,,0
Lewisham 030B,E01003348,0,,0
Lewisham 030C,E01003350,0,,0
Lewisham 030D,E01003352,0,,0
Lewisham 030E,E01003353,0,,0
Lewisham 031A,E01003264,0,,0
Lewisham 031B,E01003265,0,,0
Lewisham 031C,E01003266,0,,0
Lewisham 031D,E01003267,0,,0
Lewisham 033A,E01003329,0,,0
Lewisham 033B,E01003330,0,,0
Lewisham 033C,E01003331,0,,0
Lewisham 033D,E01003332,0,,0
Lewisham 033E,E01003334,0,,0
Lewisham 034A,E01003189,0,,0
Lewisham 034B,E01003190,0,,0
Lewisham 034C,E01003191,0,,0
Lewisham 034D,E01003192,0,,0
Lewisham 035A,E01003326,0,,0
Lewisham 035B,E01003327,0,,0
Lewisham 035C,E01003328,0,,0
Lewisham 035D,E01003333,0,,0
Lewisham 035E,E01003335,0,,0
Lewisham 037A,E01003236,0,,0
Lewisham 037B,E01003237,0,,0
Lewisham 037C,E01003238,0,,0
Lewisham 037D,E01003239,0,,0
Lewisham 037E,E01032564,0,,10
Lewisham 038A,E01003235,0,,0
Lewisham 038B,E01003240,0,,0
Lewisham 038C,E01003241,0,,0
Lewisham 038D,E01003243,0,,0
Lewisham 038E,E01032565,0,,0
Lewisham 039A,E01003298,0,,0
Lewisham 039B,E01003300,0,,0
Lewisham 039C,E01003303,0,,0
Lewisham 039D,E01003304,0,,0
Lewisham 039E,E01032579,0,,10
Newham 001A,E01003543,0,,0
Newham 001B,E01003544,0,,0
Newham 001C,E01003546,0,,0
Newham 001D,E01003550,0,,0
Newham 002A,E01003576,0,,0
Newham 002B,E01003581,0,,0
Newham 002C,E01003582,0,,0
Newham 002D,E01003583,0,,0
Newham 003A,E01003578,0,,0
Newham 003B,E01003584,0,,0
Newham 003C,E01003586,0,,0
Newham 003D,E01003590,0,,0
Newham 004A,E01003579,0,,0
Newham 004B,E01003585,0,,0
Newham 004C,E01003587,0,,0
Newham 004D,E01003591,0,,0
Newham 005A,E01003528,0,,0
Newham 005B,E01003575,0,,0
Newham 005C,E01003577,0,,0
Newham 005D,E01003580,0,,0
Newham 006A,E01003545,0,,0
Newham 006B,E01003548,0,,0
Newham 006C,E01003549,0,,0
Newham 006D,E01003557,0,,0
Newham 007A,E01003547,0,,10
Newham 007B,E01003555,0,,0
Newham 007C,E01003561,0,,0
Newham 007D,E01003567,0,,0
Newham 008A,E01003556,0,,0
Newham 008B,E01003558,0,,0
Newham 008C,E01003570,0,,0
Newham 008D,E01003571,0,,0
Newham 008E,E01003572,0,,0
Newham 009A,E01003551,0,,0
Newham 009B,E01003553,0,,0
Newham 009C,E01003554,0,,0
Newham 009D,E01003559,0,,0
Newham 010A,E01003529,0,,0
Newham 010B,E01003530,0,,0
Newham 010C,E01003531,0,,0
Newham 010D,E01003532,0,,0
Newham 010E,E01003534,0,,0
Newham 011A,E01003533,0,,0
Newham 011B,E01003560,0,,0
Newham 011C,E01003563,0,,0
Newham 011D,E01003588,0,,0
Newham 011E,E01003589,0,,0
Newham 012A,E01003616,0,,0
Newham 012B,E01003617,0,,5
Newham 012C,E01003618,0,,0
Newham 012D,E01003619,0,,0
Newham 013C,E01003615,0,,0
Newham 013E,E01033578,0,,0
Newham 013F,E01033579,0,,0
Newham 013G,E01033583,0,,250
Newham 013H,E01033586,0,,0
Newham 014A,E01003562,0,,0
Newham 014B,E01003564,0,,0
Newham 014C,E01003565,0,,15
Newham 014D,E01003566,0,,0
Newham 015A,E01003625,0,,0
Newham 015B,E01003626,0,,0
Newham 015C,E01003627,0,,0
Newham 015D,E01003628,0,,0
Newham 015E,E01003629,0,,0
Newham 016A,E01003552,0,,0
Newham 016B,E01003596,0,,0
Newham 016C,E01003597,0,,0
Newham 016D,E01003635,0,,0
Newham 017A,E01003568,0,,0
Newham 017B,E01003569,0,,0
Newham 017C,E01003573,0,,0
Newham 017D,E01003574,0,,0
Newham 018A,E01003520,0,,0
Newham 018B,E01003521,0,,0
Newham 018C,E01003522,0,,5
Newham 018D,E01003525,0,,0
Newham 018E,E01003526,0,,0
Newham 019A,E01003488,0,,0
Newham 019B,E01003489,0,,0
Newham 019C,E01003490,0,,0
Newham 019D,E01003524,0,,0
Newham 020A,E01003631,0,,0
Newham 020B,E01003632,0,,0
Newham 020C,E01003633,0,,0
Newham 020D,E01003634,0,,0
Newham 020E,E01003636,0,,0
Newham 021A,E01003598,0,,0
Newham 021B,E01003600,0,,0
Newham 021C,E01003630,0,,0
Newham 021D,E01003637,0,,0
Newham 022A,E01003491,0,,0
Newham 022B,E01003592,0,,0
Newham 022C,E01003599,0,,0
Newham 022D,E01003606,0,,0
Newham 023A,E01003535,0,,0
Newham 023B,E01003536,0,,0
Newham 023C,E01003621,0,,0
Newham 023D,E01003622,0,,0
Newham 023E,E01003623,0,,0
Newham 024A,E01003523,0,,0
Newham 024B,E01003527,0,,0
Newham 024C,E01003537,0,,0
Newham 024D,E01003542,0,,0
Newham 024E,E01003624,0,,0
Newham 025A,E01003492,0,,0
Newham 025B,E01003493,0,,0
Newham 025C,E01003494,0,,0
Newham 025D,E01003495,0,,0
Newham 026A,E01003594,0,,0
Newham 026B,E01003595,0,,0
Newham 026C,E01003602,0,,0
Newham 026D,E01003607,0,,0
Newham 027A,E01003496,0,,0
Newham 027B,E01003498,0,,0
Newham 027C,E01003500,0,,0
Newham 027D,E01003593,0,,0
Newham 028A,E01003601,0,,0
Newham 028B,E01003603,0,,0
Newham 028C,E01003605,0,,5
Newham 028D,E01003608,0,,0
Newham 029A,E01003538,0,,0
Newham 029B,E01003539,0,,0
Newham 029C,E01003540,0,,0
Newham 029D,E01003541,0,,0
Newham 030A,E01003499,0,,0
Newham 030B,E01003501,0,,0
Newham 030C,E01003502,0,,0
Newham 030D,E01003503,0,,0
Newham 031A,E01003507,0,,0
Newham 031B,E01003508,0,,0
Newham 031C,E01003509,0,,0
Newham 031D,E01003604,0,,0
Newham 032A,E01003483,0,,0
Newham 032B,E01003484,0,,0
Newham 032C,E01003516,0,,0
Newham 032D,E01003518,0,,0
Newham 032E,E01003519,0,,0
Newham 033A,E01003480,0,,0
Newham 033B,E01003482,0,,0
Newham 033C,E01003486,0,,0
Newham 033D,E01003487,0,,0
Newham 034A,E01003497,0,,0
Newham 034D,E01003506,0,,0
Newham 034F,E01033574,0,,0
Newham 034G,E01033575,0,,0
Newham 034H,E01033576,0,,0
Newham 034I,E01033584,0,,0
Newham 034J,E01033585,0,,0
Newham 035A,E01003479,0,,0
Newham 035B,E01003481,0,,0
Newham 035C,E01003485,0,,0
Newham 035D,E01003513,0,,0
Newham 036A,E01003511,0,,0
Newham 036B,E01003512,0,,0
Newham 036C,E01003514,0,,0
Newham 036D,E01003515,0,,0
Newham 036E,E01003517,0,,0
Newham 037A,E01003609,0,,0
Newham 037C,E01003611,0,,0
Newham 037E,E01033577,0,,40
Newham 037F,E01033580,0,,0
Newham 037G,E01033581,0,,0
Newham 037H,E01033582,0,,0
Southwark 001A,E01004029,0,,0
Southwark 001B,E01004032,0,,0
Southwark 001C,E01004053,0,,0
Southwark 001D,E01004054,0,,0
Southwark 001E,E01004055,0,,0
Southwark 002A,E01003927,0,,30
Southwark 002B,E01003929,0,,15
Southwark 002C,E01003934,0,,0
Southwark 002D,E01003935,0,,0
Southwark 002E,E01003939,0,,15
Southwark 003A,E01003976,0,,0
Southwark 003E,E01004027,0,,10
Southwark 003F,E01032637,0,,0
Southwark 003G,E01032638,0,,0
Southwark 003H,E01032640,0,,0
Southwark 003I,E01032646,0,,0
Southwark 003J,E01032803,0,,0
Southwark 003K,E01032834,0,,0
Southwark 004A,E01003975,5,,0
Southwark 004B,E01003978,0,,0
Southwark 004C,E01004022,0,,15
Southwark 004D,E01004023,0,,0
Southwark 004E,E01004028,0,,0
Southwark 006A,E01003938,0,,0
Southwark 006B,E01003940,0,,0
Southwark 006C,E01003941,0,,0
Southwark 006D,E01003942,0,,0
Southwark 006E,E01003979,0,,0
Southwark 006F,E01003981,0,,0
Southwark 007A,E01004030,0,,0
Southwark 007B,E01004031,0,,0
Southwark 007C,E01004033,0,,0
Southwark 007D,E01004034,0,,0
Southwark 007E,E01004036,0,,0
Southwark 008A,E01004056,0,,5
Southwark 008B,E01004057,0,,0
Southwark 008C,E01004058,0,,0
Southwark 008D,E01004059,0,,0
Southwark 008E,E01004060,0,,0
Southwark 009A,E01003936,0,,0
Southwark 009B,E01003937,0,,5
Southwark 009C,E01003943,0,,0
Southwark 009F,E01032720,0,,0
Southwark 010A,E01003977,0,,0
Southwark 010B,E01004037,0,,0
Southwark 010C,E01004038,0,,0
Southwark 010D,E01004042,0,,0
Southwark 010E,E01004043,0,,0
Southwark 011A,E01003986,0,,0
Southwark 011B,E01003987,0,,0
Southwark 011C,E01004024,0,,0
Southwark 011D,E01004035,0,,0
Southwark 012A,E01003960,0,,0
Southwark 012B,E01003961,0,,0
Southwark 012E,E01003994,0,,0
Southwark 012F,E01032722,0,,0
Southwark 013A,E01003980,0,,0
Southwark 013B,E01004039,0,,0
Southwark 013C,E01004040,0,,0
Southwark 013D,E01004041,0,,0
Southwark 013E,E01004044,0,,0
Southwark 014A,E01003992,0,,0
Southwark 014B,E01003995,0,,0
Southwark 014D,E01003998,0,,0
Southwark 014E,E01003999,0,,0
Southwark 014F,E01032639,0,,0
Southwark 014G,E01032719,0,,0
Southwark 015A,E01003964,0,,0
Southwark 015B,E01003966,0,,0
Southwark 015C,E01003968,0,,0
Southwark 015D,E01003971,0,,0
Southwark 015E,E01003974,0,,0
Southwark 016A,E01003963,0,,5
Southwark 016B,E01003967,0,,0
Southwark 016C,E01003970,0,,0
Southwark 016D,E01003972,0,,0
Southwark 016E,E01003973,0,,0
Southwark 017A,E01003923,0,,0
Southwark 017B,E01003969,0,,0
Southwark 017C,E01003991,0,,0
Southwark 017D,E01003993,0,,0
Southwark 017E,E01003997,0,,0
Southwark 018A,E01003983,0,,0
Southwark 018B,E01003988,0,,0
Southwark 018C,E01003989,0,,0
Southwark 018D,E01003990,0,,0
Southwark 018E,E01004007,0,,0
Southwark 019A,E01003912,0,,0
Southwark 019B,E01004011,0,,0
Southwark 019C,E01004012,0,,0
Southwark 019D,E01004013,0,,0
Southwark 019E,E01004014,0,,5
Southwark 020A,E01003911,0,,0
Southwark 020B,E01003916,0,,0
Southwark 020C,E01003917,0,,0
Southwark 020D,E01003918,0,,0
Southwark 020E,E01003925,0,,0
Southwark 021A,E01003919,0,,0
Southwark 021B,E01003920,0,,0
Southwark 021C,E01003921,0,,0
Southwark 021D,E01003922,0,,0
Southwark 021E,E01003924,0,,0
Southwark 021F,E01003926,0,,0
Southwark 022B,E01004008,0,,0
Southwark 022D,E01004010,0,,0
Southwark 022E,E01004067,0,,0
Southwark 022F,E01032805,0,,0
Southwark 023A,E01003984,0,,0
Southwark 023B,E01004003,0,,0
Southwark 023C,E01004004,0,,0
Southwark 023D,E01004005,0,,0
Southwark 023E,E01004006,0,,0
Southwark 024A,E01003913,0,,0
Southwark 024B,E01003914,0,,0
Southwark 024C,E01003915,0,,0
Southwark 024D,E01004050,0,,0
Southwark 024E,E01004052,0,,0
Southwark 025A,E01004061,0,,0
Southwark 025B,E01004062,0,,0
Southwark 025C,E01004063,0,,0
Southwark 025D,E01004065,0,,0
Southwark 025E,E01004066,0,,0
Southwark 026A,E01004000,0,,0
Southwark 026B,E01004001,0,,0
Southwark 026C,E01004019,0,,0
Southwark 026D,E01004064,0,,0
Southwark 026E,E01004068,0,,0
Southwark 027A,E01004045,0,,0
Southwark 027B,E01004047,0,,0
Southwark 027C,E01004048,0,,0
Southwark 027D,E01004049,0,,0
Southwark 027E,E01004051,0,,0
Southwark 028A,E01003953,0,,0
Southwark 028B,E01003955,0,,0
Southwark 028C,E01004015,0,,0
Southwark 028D,E01004021,0,,0
Southwark 028E,E01004046,0,,0
Southwark 029A,E01004002,0,,0
Southwark 029B,E01004016,0,,0
Southwark 029C,E01004017,0,,0
Southwark 029D,E01004020,0,,0
Southwark 030A,E01003952,0,,0
Southwark 030B,E01003954,0,,0
Southwark 030C,E01003956,0,,0
Southwark 030D,E01004071,0,,0
Southwark 030E,E01004072,0,,0
Southwark 031A,E01004069,0,,0
Southwark 031B,E01004070,0,,0
Southwark 031C,E01004073,0,,0
Southwark 031D,E01004074,0,,0
Southwark 031E,E01004075,0,,0
Southwark 032A,E01003949,0,,0
Southwark 032B,E01003950,0,,0
Southwark 032C,E01003957,0,,0
Southwark 032D,E01003958,0,,0
Southwark 032E,E01004018,0,,0
Southwark 033A,E01003945,0,,0
Southwark 033B,E01003946,0,,0
Southwark 033C,E01003947,0,,0
Southwark 033D,E01003948,0,,0
Southwark 033E,E01003951,0,,0
Southwark 034A,E01003930,0,,0
Southwark 034B,E01003932,0,,15
Southwark 034C,E01003933,0,,0
Southwark 034D,E01032583,0,,0
Southwark 034E,E01032584,0,,0
Tower Hamlets 001A,E01004222,0,,0
Tower Hamlets 001B,E01004223,0,,0
Tower Hamlets 001C,E01004224,0,,0
Tower Hamlets 001D,E01004226,0,,0
Tower Hamlets 002A,E01004197,0,,0
Tower Hamlets 002B,E01004198,0,,0
Tower Hamlets 002C,E01004199,0,,0
